                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.28977,                 0.6779,                0.80574,                0.63573,                0.91856,                0.87207,                0.85753,                0.26161,                 1.4423,                0.80149,             0.00054437,             0.00054437,             0.00054437
                     37,                0.29904,                0.68715,                0.82143,                0.61605,                0.85767,                0.84588,                0.82114,                0.27144,                 1.6324,                0.80418,             0.00053612,             0.00053612,             0.00053612
                     38,                0.28547,                0.65966,                0.81653,                0.71572,                0.83454,                0.87358,                0.85479,                0.23753,                 1.3567,                0.79633,             0.00052787,             0.00052787,             0.00052787
                     39,                0.28347,                0.65428,                0.80331,                0.64467,                0.91518,                0.91263,                0.88897,                0.25222,                  1.344,                0.79492,             0.00051963,             0.00051963,             0.00051963
                     40,                0.28295,                0.64262,                0.80822,                0.66135,                0.81338,                0.86641,                0.85483,                0.24249,                 1.5693,                0.79403,             0.00051138,             0.00051138,             0.00051138
                     41,                0.28333,                0.65648,                0.80394,                0.70747,                0.89799,                 0.8741,                0.86783,                0.23577,                 1.3522,                0.79795,             0.00050313,             0.00050313,             0.00050313
                     42,                0.28971,                0.60147,                0.80134,                0.70736,                0.85714,                0.82105,                0.81376,                0.25015,                 1.3512,                0.79218,             0.00049489,             0.00049489,             0.00049489
                     43,                0.27996,                0.58926,                0.81021,                0.66569,                0.82589,                0.84698,                0.84164,                0.23963,                 1.2981,                0.79219,             0.00048664,             0.00048664,             0.00048664
                     44,                0.26942,                0.61504,                0.80186,                0.71021,                0.89233,                 0.8563,                0.84588,                0.23599,                 1.3239,                0.79492,             0.00047839,             0.00047839,             0.00047839
                     45,                0.27313,                0.63112,                0.80696,                0.76207,                0.92708,                0.85837,                0.84669,                0.24897,                 1.1706,                0.79723,             0.00047015,             0.00047015,             0.00047015
                     46,                0.28608,                0.61128,                 0.8081,                0.71104,                0.87453,                0.87451,                0.86776,                0.23696,                 1.2527,                0.79975,              0.0004619,              0.0004619,              0.0004619
                     47,                0.28079,                0.60943,                0.81383,                0.70214,                0.86092,                0.83427,                0.82427,                0.24122,                 1.3708,                0.79723,             0.00045365,             0.00045365,             0.00045365
                     48,                0.26866,                 0.5845,                0.79615,                0.73857,                0.90271,                0.85666,                0.85429,                0.22979,                 1.2644,                0.79789,             0.00044541,             0.00044541,             0.00044541
                     49,                0.26652,                0.59639,                0.79202,                0.74137,                0.91917,                0.85414,                 0.8519,                0.22701,                 1.2224,                0.79689,             0.00043716,             0.00043716,             0.00043716
